#           k/h    P           
    0.25468E-01    0.33105E+03
    0.25982E-01    0.32649E+03
    0.26507E-01    0.32182E+03
    0.27043E-01    0.31702E+03
    0.27589E-01    0.31210E+03
    0.28146E-01    0.30706E+03
    0.28715E-01    0.30191E+03
    0.29295E-01    0.29668E+03
    0.29887E-01    0.29137E+03
    0.30490E-01    0.28599E+03
    0.31106E-01    0.28058E+03
    0.31735E-01    0.27514E+03
    0.32376E-01    0.26969E+03
    0.33030E-01    0.26427E+03
    0.33697E-01    0.25888E+03
    0.34378E-01    0.25354E+03
    0.35072E-01    0.24826E+03
    0.35781E-01    0.24306E+03
    0.36504E-01    0.23796E+03
    0.37241E-01    0.23295E+03
    0.37993E-01    0.22805E+03
    0.38761E-01    0.22326E+03
    0.39544E-01    0.21860E+03
    0.40343E-01    0.21407E+03
    0.41158E-01    0.20967E+03
    0.41989E-01    0.20542E+03
    0.42838E-01    0.20134E+03
    0.43703E-01    0.19742E+03
    0.44586E-01    0.19369E+03
    0.45486E-01    0.19016E+03
    0.46405E-01    0.18683E+03
    0.47343E-01    0.18367E+03
    0.48299E-01    0.18068E+03
    0.49275E-01    0.17784E+03
    0.50270E-01    0.17514E+03
    0.51286E-01    0.17255E+03
    0.52322E-01    0.17007E+03
    0.53379E-01    0.16769E+03
    0.54457E-01    0.16539E+03
    0.55557E-01    0.16315E+03
    0.56680E-01    0.16096E+03
    0.57825E-01    0.15881E+03
    0.58993E-01    0.15666E+03
    0.60184E-01    0.15450E+03
    0.61400E-01    0.15230E+03
    0.62641E-01    0.15003E+03
    0.63906E-01    0.14765E+03
    0.65197E-01    0.14514E+03
    0.66514E-01    0.14245E+03
    0.67858E-01    0.13960E+03
    0.69229E-01    0.13662E+03
    0.70627E-01    0.13353E+03
    0.72054E-01    0.13031E+03
    0.73510E-01    0.12690E+03
    0.74994E-01    0.12326E+03
    0.76509E-01    0.11944E+03
    0.78055E-01    0.11550E+03
    0.79632E-01    0.11150E+03
