#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.155869E-02   0.288402E+07   0.288352E+07   0.742776E+06   0.716375E+06   0.255807E+07   0.288239E+07   0.288394E+07   0.288416E+07  -0.586688E+00   0.287492E+07   0.287374E+07   0.397633E+03
   0.172108E-02   0.287391E+07   0.287334E+07   0.544066E+06   0.519015E+06   0.248972E+07   0.287199E+07   0.287381E+07   0.287328E+07  -0.584357E+00   0.286453E+07   0.286335E+07   0.362288E+03
   0.190039E-02   0.286217E+07   0.286153E+07   0.400634E+06   0.376599E+06   0.241300E+07   0.285993E+07   0.286206E+07   0.286087E+07  -0.581716E+00   0.285246E+07   0.285130E+07   0.321597E+03
   0.209838E-02   0.284863E+07   0.284790E+07   0.313926E+06   0.289829E+06   0.232821E+07   0.284604E+07   0.284851E+07   0.284677E+07  -0.578737E+00   0.283853E+07   0.283741E+07   0.279967E+03
   0.231699E-02   0.283312E+07   0.283229E+07   0.272476E+06   0.246881E+06   0.223617E+07   0.283015E+07   0.283298E+07   0.283078E+07  -0.575392E+00   0.282259E+07   0.282152E+07   0.242456E+03
   0.255838E-02   0.281546E+07   0.281450E+07   0.253195E+06   0.225336E+06   0.213824E+07   0.281208E+07   0.281530E+07   0.281267E+07  -0.571640E+00   0.280448E+07   0.280344E+07   0.213187E+03
   0.282492E-02   0.279547E+07   0.279434E+07   0.230194E+06   0.201317E+06   0.203627E+07   0.279167E+07   0.279528E+07   0.279220E+07  -0.567435E+00   0.278404E+07   0.278301E+07   0.193417E+03
   0.311923E-02   0.277295E+07   0.277162E+07   0.189453E+06   0.163335E+06   0.193236E+07   0.276874E+07   0.277273E+07   0.276917E+07  -0.562728E+00   0.276112E+07   0.276005E+07   0.180436E+03
   0.344419E-02   0.274772E+07   0.274613E+07   0.139438E+06   0.120562E+06   0.182850E+07   0.274309E+07   0.274745E+07   0.274341E+07  -0.557472E+00   0.273553E+07   0.273443E+07   0.168824E+03
   0.380302E-02   0.271956E+07   0.271768E+07   0.103223E+06   0.927963E+05   0.172617E+07   0.271453E+07   0.271925E+07   0.271477E+07  -0.551627E+00   0.270706E+07   0.270595E+07   0.154406E+03
   0.419923E-02   0.268830E+07   0.268605E+07   0.912455E+05   0.834849E+05   0.162604E+07   0.268287E+07   0.268792E+07   0.268309E+07  -0.545162E+00   0.267552E+07   0.267442E+07   0.138075E+03
   0.463671E-02   0.265373E+07   0.265106E+07   0.850892E+05   0.675881E+05   0.152797E+07   0.264793E+07   0.265328E+07   0.264812E+07  -0.538039E+00   0.264071E+07   0.263961E+07   0.124515E+03
   0.511978E-02   0.261567E+07   0.261248E+07   0.656552E+05   0.546354E+05   0.143138E+07   0.260951E+07   0.261513E+07   0.260966E+07  -0.530212E+00   0.260245E+07   0.260133E+07   0.115507E+03
   0.565317E-02   0.257403E+07   0.257022E+07   0.476997E+05   0.440916E+05   0.133119E+07   0.256749E+07   0.257339E+07   0.256760E+07  -0.521657E+00   0.256064E+07   0.255949E+07   0.107302E+03
   0.624213E-02   0.252844E+07   0.252388E+07   0.446570E+05   0.355158E+05   0.123134E+07   0.252151E+07   0.252767E+07   0.252161E+07  -0.512302E+00   0.251490E+07   0.251374E+07   0.980421E+02
